dist,label
3.72,0
3.72,0
2.8,0
3.22,0
4.18,0
4.72,0
3.22,0
3.65,0
2.8,0
3.29,0
4.42,0
4.65,0
2.81,0
4.06,0
2.81,0
4.65,0
4.42,0
4.79,0
4.42,0
4.42,0
4.42,0
4.76,0
4.64,0
2.8,0
4.64,0
4.18,0
4.65,0
3.22,0
3.72,0
4.42,0
3.72,0
4.42,0
3.29,0
3.29,0
2.81,1
2.81,1
2.81,1
3.99,1
5.01,1
4.72,1
4.3,1
3.68,1
3.22,1
4.25,1
2.8,1
4.76,1
4.18,1
2.8,1
4.71,1
3.65,1
5.13,1
4.71,1
4.76,1
4.59,1
3.65,1
